locs,techs,energy_eff
AA,CCGT_pp,0.4
AA,GT_pp,0.31
AA,HV_161:CP,0.9920219530672428
AA,HV_161:EP,0.9768975614653155
AA,HV_330:WP,0.9890825659237238
AA,ICE_pp,0.38
AH,HV_161:BA,0.9942521593117717
AH,HV_161:CP,0.9987526556673864
AH,HV_161:EP,0.9872152335710939
AH,HV_161:WP,0.9928975082903017
BA,HV_161:AH,0.9942521593117717
BA,HV_161:NP,0.9884283504400551
BA,HV_161:WP,0.9956984921328267
BA,Hydro_new,1.0
CP,HV_161:AA,0.9920219530672428
CP,HV_161:AH,0.9987526556673864
CP,HV_161:WP,0.9862606430648977
CP,PV,1.0
EP,HV_161:AA,0.9768975614653155
EP,HV_161:AH,0.9872152335710939
EP,HV_161:TV,0.9945312873956674
EP,Hydro_old,1.0
NP,HV_161:BA,0.9884283504400551
NP,HV_161:UE,0.9921064900450289
NP,HV_161:UW,0.9952494052082668
TV,HV_161:EP,0.9945312873956674
TV,Hydro_old,1.0
UE,HV_161:NP,0.9921064900450289
UE,HV_161:UW,0.9945213171862979
UE,PV,1.0
UW,HV_161:NP,0.9952494052082668
UW,HV_161:UE,0.9945213171862979
WP,CCGT_pp,0.4
WP,GT_pp,0.31
WP,HV_161:AH,0.9928975082903017
WP,HV_161:BA,0.9956984921328267
WP,HV_161:CP,0.9862606430648977
WP,HV_330:AA,0.9890825659237238
