locs,techs,energy_prod
AA,CCGT_pp,1.0
AA,GT_pp,1.0
AA,HV_161:CP,1.0
AA,HV_161:EP,1.0
AA,HV_330:WP,1.0
AA,ICE_pp,1.0
AH,HV_161:BA,1.0
AH,HV_161:CP,1.0
AH,HV_161:EP,1.0
AH,HV_161:WP,1.0
BA,HV_161:AH,1.0
BA,HV_161:NP,1.0
BA,HV_161:WP,1.0
BA,Hydro_new,1.0
CP,HV_161:AA,1.0
CP,HV_161:AH,1.0
CP,HV_161:WP,1.0
CP,PV,1.0
EP,HV_161:AA,1.0
EP,HV_161:AH,1.0
EP,HV_161:TV,1.0
EP,Hydro_old,1.0
NP,HV_161:BA,1.0
NP,HV_161:UE,1.0
NP,HV_161:UW,1.0
TV,HV_161:EP,1.0
TV,Hydro_old,1.0
UE,HV_161:NP,1.0
UE,HV_161:UW,1.0
UE,PV,1.0
UW,HV_161:NP,1.0
UW,HV_161:UE,1.0
WP,CCGT_pp,1.0
WP,GT_pp,1.0
WP,HV_161:AH,1.0
WP,HV_161:BA,1.0
WP,HV_161:CP,1.0
WP,HV_330:AA,1.0
