carriers,locs,lookup_loc_carriers
power,AA,"AA::HV_330:WP::power,AA::demand_power::power,AA::HV_161:EP::power,AA::CCGT_pp::power,AA::ICE_pp::power,AA::HV_161:CP::power,AA::GT_pp::power"
power,AH,"AH::HV_161:WP::power,AH::HV_161:CP::power,AH::demand_power::power,AH::HV_161:EP::power,AH::HV_161:BA::power"
power,BA,"BA::HV_161:AH::power,BA::Hydro_new::power,BA::demand_power::power,BA::HV_161:WP::power,BA::HV_161:NP::power"
power,CP,"CP::HV_161:AA::power,CP::demand_power::power,CP::HV_161:AH::power,CP::HV_161:WP::power,CP::PV::power"
power,EP,"EP::HV_161:AA::power,EP::demand_power::power,EP::HV_161:TV::power,EP::HV_161:AH::power,EP::Hydro_old::power"
power,NP,"NP::HV_161:BA::power,NP::HV_161:UE::power,NP::HV_161:UW::power,NP::demand_power::power"
power,TV,"TV::HV_161:EP::power,TV::Hydro_old::power,TV::demand_power::power"
power,UE,"UE::PV::power,UE::HV_161:UW::power,UE::HV_161:NP::power,UE::demand_power::power"
power,UW,"UW::demand_power::power,UW::HV_161:UE::power,UW::HV_161:NP::power"
power,WP,"WP::HV_161:AH::power,WP::HV_330:AA::power,WP::HV_161:CP::power,WP::GT_pp::power,WP::CCGT_pp::power,WP::HV_161:BA::power,WP::demand_power::power"
