locs,techs,lookup_loc_techs
AA,CCGT_pp,AA::CCGT_pp::power
AA,GT_pp,AA::GT_pp::power
AA,HV_161:CP,AA::HV_161:CP::power
AA,HV_161:EP,AA::HV_161:EP::power
AA,HV_330:WP,AA::HV_330:WP::power
AA,ICE_pp,AA::ICE_pp::power
AA,demand_power,AA::demand_power::power
AH,HV_161:BA,AH::HV_161:BA::power
AH,HV_161:CP,AH::HV_161:CP::power
AH,HV_161:EP,AH::HV_161:EP::power
AH,HV_161:WP,AH::HV_161:WP::power
AH,demand_power,AH::demand_power::power
BA,HV_161:AH,BA::HV_161:AH::power
BA,HV_161:NP,BA::HV_161:NP::power
BA,HV_161:WP,BA::HV_161:WP::power
BA,Hydro_new,BA::Hydro_new::power
BA,demand_power,BA::demand_power::power
CP,HV_161:AA,CP::HV_161:AA::power
CP,HV_161:AH,CP::HV_161:AH::power
CP,HV_161:WP,CP::HV_161:WP::power
CP,PV,CP::PV::power
CP,demand_power,CP::demand_power::power
EP,HV_161:AA,EP::HV_161:AA::power
EP,HV_161:AH,EP::HV_161:AH::power
EP,HV_161:TV,EP::HV_161:TV::power
EP,Hydro_old,EP::Hydro_old::power
EP,demand_power,EP::demand_power::power
NP,HV_161:BA,NP::HV_161:BA::power
NP,HV_161:UE,NP::HV_161:UE::power
NP,HV_161:UW,NP::HV_161:UW::power
NP,demand_power,NP::demand_power::power
TV,HV_161:EP,TV::HV_161:EP::power
TV,Hydro_old,TV::Hydro_old::power
TV,demand_power,TV::demand_power::power
UE,HV_161:NP,UE::HV_161:NP::power
UE,HV_161:UW,UE::HV_161:UW::power
UE,PV,UE::PV::power
UE,demand_power,UE::demand_power::power
UW,HV_161:NP,UW::HV_161:NP::power
UW,HV_161:UE,UW::HV_161:UE::power
UW,demand_power,UW::demand_power::power
WP,CCGT_pp,WP::CCGT_pp::power
WP,GT_pp,WP::GT_pp::power
WP,HV_161:AH,WP::HV_161:AH::power
WP,HV_161:BA,WP::HV_161:BA::power
WP,HV_161:CP,WP::HV_161:CP::power
WP,HV_330:AA,WP::HV_330:AA::power
WP,demand_power,WP::demand_power::power
