locs,techs,timesteps,resource
AA,demand_power,2019-01-01 00:00:00,-950765.8155
AA,demand_power,2019-01-01 01:00:00,-951797.6170000001
AA,demand_power,2019-01-01 02:00:00,-953536.9396
AA,demand_power,2019-01-01 03:00:00,-933166.2292
AA,demand_power,2019-01-01 04:00:00,-933687.0433
AA,demand_power,2019-01-01 05:00:00,-854827.9253
AA,demand_power,2019-01-01 06:00:00,-811983.5946
AA,demand_power,2019-01-01 07:00:00,-820581.9407
AA,demand_power,2019-01-01 08:00:00,-823284.2781
AA,demand_power,2019-01-01 09:00:00,-839350.9022
AA,demand_power,2019-01-01 10:00:00,-843379.8415
AA,demand_power,2019-01-01 11:00:00,-877478.4259
AA,demand_power,2019-01-01 12:00:00,-889417.8437
AA,demand_power,2019-01-01 13:00:00,-897426.589
AA,demand_power,2019-01-01 14:00:00,-901720.8488
AA,demand_power,2019-01-01 15:00:00,-911532.7901
AA,demand_power,2019-01-01 16:00:00,-913901.0203
AA,demand_power,2019-01-01 17:00:00,-841512.7721
AA,demand_power,2019-01-01 18:00:00,-1066981.063
AA,demand_power,2019-01-01 19:00:00,-1116227.476
AA,demand_power,2019-01-01 20:00:00,-1150876.355
AA,demand_power,2019-01-01 21:00:00,-1140985.8
AA,demand_power,2019-01-01 22:00:00,-1074080.84
AA,demand_power,2019-01-01 23:00:00,-1051194.499
AA,demand_power,2019-01-02 00:00:00,-986009.2082
AA,demand_power,2019-01-02 01:00:00,-957649.4058
AA,demand_power,2019-01-02 02:00:00,-924096.2023
AA,demand_power,2019-01-02 03:00:00,-903828.6719
AA,demand_power,2019-01-02 04:00:00,-898080.0633
AA,demand_power,2019-01-02 05:00:00,-889462.0638
AA,demand_power,2019-01-02 06:00:00,-847679.0146
AA,demand_power,2019-01-02 07:00:00,-871390.7967
AA,demand_power,2019-01-02 08:00:00,-897775.4362
AA,demand_power,2019-01-02 09:00:00,-949336.0333
AA,demand_power,2019-01-02 10:00:00,-980506.2666
AA,demand_power,2019-01-02 11:00:00,-970202.9912
AA,demand_power,2019-01-02 12:00:00,-979548.1652
AA,demand_power,2019-01-02 13:00:00,-1136617.84
AA,demand_power,2019-01-02 14:00:00,-946840.0563
AA,demand_power,2019-01-02 15:00:00,-977376.4686
AA,demand_power,2019-01-02 16:00:00,-944678.1864
AA,demand_power,2019-01-02 17:00:00,-970939.9923
AA,demand_power,2019-01-02 18:00:00,-1103138.337
AA,demand_power,2019-01-02 19:00:00,-1188492.8909999998
AA,demand_power,2019-01-02 20:00:00,-1186046.047
AA,demand_power,2019-01-02 21:00:00,-1151456.129
AA,demand_power,2019-01-02 22:00:00,-1114591.334
AA,demand_power,2019-01-02 23:00:00,-1060249.7859999998
AA,demand_power,2019-01-03 00:00:00,-1032985.6579999999
AA,demand_power,2019-01-03 01:00:00,-989252.0129999999
AA,demand_power,2019-01-03 02:00:00,-946717.2228
AA,demand_power,2019-01-03 03:00:00,-945434.8408
AA,demand_power,2019-01-03 04:00:00,-934065.3705
AA,demand_power,2019-01-03 05:00:00,-921035.191
AA,demand_power,2019-01-03 06:00:00,-872255.5447
AA,demand_power,2019-01-03 07:00:00,-962238.4659999999
AA,demand_power,2019-01-03 08:00:00,-983360.9176
AA,demand_power,2019-01-03 09:00:00,-965019.4168
AA,demand_power,2019-01-03 10:00:00,-1023773.145
AA,demand_power,2019-01-03 11:00:00,-1065340.007
AA,demand_power,2019-01-03 12:00:00,-1070951.0420000001
AA,demand_power,2019-01-03 13:00:00,-1074257.72
AA,demand_power,2019-01-03 14:00:00,-1086767.086
AA,demand_power,2019-01-03 15:00:00,-1095159.071
AA,demand_power,2019-01-03 16:00:00,-1100907.68
AA,demand_power,2019-01-03 17:00:00,-1097261.981
AA,demand_power,2019-01-03 18:00:00,-1164481.395
AA,demand_power,2019-01-03 19:00:00,-1211187.612
AA,demand_power,2019-01-03 20:00:00,-1214666.257
AA,demand_power,2019-01-03 21:00:00,-1176764.747
AA,demand_power,2019-01-03 22:00:00,-1114095.086
AA,demand_power,2019-01-03 23:00:00,-1099006.217
AA,demand_power,2019-01-04 00:00:00,-1046698.792
AA,demand_power,2019-01-04 01:00:00,-996499.1906
AA,demand_power,2019-01-04 02:00:00,-985336.0805
AA,demand_power,2019-01-04 03:00:00,-983591.8446
AA,demand_power,2019-01-04 04:00:00,-978609.7171
AA,demand_power,2019-01-04 05:00:00,-972453.3012
AA,demand_power,2019-01-04 06:00:00,-905386.2009
AA,demand_power,2019-01-04 07:00:00,-940162.8263
AA,demand_power,2019-01-04 08:00:00,-951758.3103
AA,demand_power,2019-01-04 09:00:00,-964174.3222
AA,demand_power,2019-01-04 10:00:00,-1005171.2370000001
AA,demand_power,2019-01-04 11:00:00,-1007220.1
AA,demand_power,2019-01-04 12:00:00,-982673.0499
AA,demand_power,2019-01-04 13:00:00,-1010109.1440000001
AA,demand_power,2019-01-04 14:00:00,-1036066.323
AA,demand_power,2019-01-04 15:00:00,-1037029.338
AA,demand_power,2019-01-04 16:00:00,-1034282.78
AA,demand_power,2019-01-04 17:00:00,-1057459.008
AA,demand_power,2019-01-04 18:00:00,-1148567.085
AA,demand_power,2019-01-04 19:00:00,-1225401.906
AA,demand_power,2019-01-04 20:00:00,-1220061.105
AA,demand_power,2019-01-04 21:00:00,-1207851.453
AA,demand_power,2019-01-04 22:00:00,-1163523.294
AA,demand_power,2019-01-04 23:00:00,-1099472.985
AA,demand_power,2019-01-05 00:00:00,-1069206.8059999999
AA,demand_power,2019-01-05 01:00:00,-1034381.047
AA,demand_power,2019-01-05 02:00:00,-987144.1899
AA,demand_power,2019-01-05 03:00:00,-977769.5359
AA,demand_power,2019-01-05 04:00:00,-955202.5621
AA,demand_power,2019-01-05 05:00:00,-969421.77
AA,demand_power,2019-01-05 06:00:00,-867769.6647
AA,demand_power,2019-01-05 07:00:00,-845915.1253
AA,demand_power,2019-01-05 08:00:00,-856527.9412
AA,demand_power,2019-01-05 09:00:00,-865086.9807
AA,demand_power,2019-01-05 10:00:00,-879522.3756
AA,demand_power,2019-01-05 11:00:00,-879910.5295
AA,demand_power,2019-01-05 12:00:00,-889108.3032
AA,demand_power,2019-01-05 13:00:00,-898925.1579
AA,demand_power,2019-01-05 14:00:00,-919924.776
AA,demand_power,2019-01-05 15:00:00,-894680.0316
AA,demand_power,2019-01-05 16:00:00,-913031.359
AA,demand_power,2019-01-05 17:00:00,-952524.7914
AA,demand_power,2019-01-05 18:00:00,-1100637.446
AA,demand_power,2019-01-05 19:00:00,-1192914.898
AA,demand_power,2019-01-05 20:00:00,-1200363.522
AA,demand_power,2019-01-05 21:00:00,-1182464.222
AA,demand_power,2019-01-05 22:00:00,-1106494.148
AA,demand_power,2019-01-05 23:00:00,-1041598.745
AA,demand_power,2019-01-06 00:00:00,-1012963.795
AA,demand_power,2019-01-06 01:00:00,-972320.6411
AA,demand_power,2019-01-06 02:00:00,-944884.5467
AA,demand_power,2019-01-06 03:00:00,-932940.2155
AA,demand_power,2019-01-06 04:00:00,-926862.4131
AA,demand_power,2019-01-06 05:00:00,-923644.1749
AA,demand_power,2019-01-06 06:00:00,-871803.5174
AA,demand_power,2019-01-06 07:00:00,-862369.9033
AA,demand_power,2019-01-06 08:00:00,-813285.6298
AA,demand_power,2019-01-06 09:00:00,-816233.6342
AA,demand_power,2019-01-06 10:00:00,-815250.9661
AA,demand_power,2019-01-06 11:00:00,-836329.1976
AA,demand_power,2019-01-06 12:00:00,-882652.1736
AA,demand_power,2019-01-06 13:00:00,-877655.3061
AA,demand_power,2019-01-06 14:00:00,-920666.6905
AA,demand_power,2019-01-06 15:00:00,-934080.1105
AA,demand_power,2019-01-06 16:00:00,-947886.5978
AA,demand_power,2019-01-06 17:00:00,-959413.2951
AA,demand_power,2019-01-06 18:00:00,-1071442.376
AA,demand_power,2019-01-06 19:00:00,-1154890.554
AA,demand_power,2019-01-06 20:00:00,-1180538.193
AA,demand_power,2019-01-06 21:00:00,-1140691.0
AA,demand_power,2019-01-06 22:00:00,-1064548.959
AA,demand_power,2019-01-06 23:00:00,-1019739.292
AA,demand_power,2019-01-07 00:00:00,-921054.8444
AA,demand_power,2019-01-07 01:00:00,-967264.8135
AA,demand_power,2019-01-07 02:00:00,-935323.1857
AA,demand_power,2019-01-07 03:00:00,-919910.036
AA,demand_power,2019-01-07 04:00:00,-915895.8367
AA,demand_power,2019-01-07 05:00:00,-934920.2918
AA,demand_power,2019-01-07 06:00:00,-874127.5275
AA,demand_power,2019-01-07 07:00:00,-841699.479
