costs,locs,techs,cost
monetary,AA,CCGT_pp,498199605.28
monetary,AA,GT_pp,21879.1948183
monetary,AA,HV_161:CP,0.0
monetary,AA,HV_161:EP,76761.5151993
monetary,AA,HV_330:WP,91059.0102683
monetary,AA,ICE_pp,37478766.306
monetary,AH,HV_161:BA,7319.62591273
monetary,AH,HV_161:CP,11.7723361283
monetary,AH,HV_161:EP,501180.074961
monetary,AH,HV_161:WP,29641.3517238
monetary,BA,HV_161:AH,13272.9782506
monetary,BA,HV_161:NP,0.0
monetary,BA,HV_161:WP,91295.5135905
monetary,BA,Hydro_new,521939.99076
monetary,CP,HV_161:AA,2242.62359387
monetary,CP,HV_161:AH,129290.904069
monetary,CP,HV_161:WP,0.0
monetary,CP,PV,0.0
monetary,EP,HV_161:AA,0.0
monetary,EP,HV_161:AH,0.0
monetary,EP,HV_161:TV,48370.1046432
monetary,EP,Hydro_old,8585247.99283
monetary,NP,HV_161:BA,134466.830865
monetary,NP,HV_161:UE,0.0
monetary,NP,HV_161:UW,0.0
monetary,TV,HV_161:EP,0.0
monetary,TV,Hydro_old,1347075.57115
monetary,UE,HV_161:NP,25830.5216088
monetary,UE,HV_161:UW,0.0
monetary,UE,PV,0.0
monetary,UW,HV_161:NP,15369.9697745
monetary,UW,HV_161:UE,0.0
monetary,WP,CCGT_pp,252221362.579
monetary,WP,GT_pp,19601.1935484
monetary,WP,HV_161:AH,24740.1983233
monetary,WP,HV_161:BA,2966.42949384
monetary,WP,HV_161:CP,0.0
monetary,WP,HV_330:AA,0.0
