costs,locs,techs,timesteps,cost_var
monetary,AA,CCGT_pp,2019-01-01 00:00:00,36837.3824606
monetary,AA,CCGT_pp,2019-01-01 01:00:00,36976.482216
monetary,AA,CCGT_pp,2019-01-01 02:00:00,37210.9646695
monetary,AA,CCGT_pp,2019-01-01 03:00:00,34464.738001
monetary,AA,CCGT_pp,2019-01-01 04:00:00,34534.9502591
monetary,AA,CCGT_pp,2019-01-01 05:00:00,23903.7543518
monetary,AA,CCGT_pp,2019-01-01 06:00:00,18100.0029311
monetary,AA,CCGT_pp,2019-01-01 07:00:00,18975.3059681
monetary,AA,CCGT_pp,2019-01-01 08:00:00,18958.2190599
monetary,AA,CCGT_pp,2019-01-01 09:00:00,20815.7421749
monetary,AA,CCGT_pp,2019-01-01 10:00:00,21108.3328461
monetary,AA,CCGT_pp,2019-01-01 11:00:00,25587.7405303
monetary,AA,CCGT_pp,2019-01-01 12:00:00,27113.7662801
monetary,AA,CCGT_pp,2019-01-01 13:00:00,28291.0323249
monetary,AA,CCGT_pp,2019-01-01 14:00:00,29065.4629313
monetary,AA,CCGT_pp,2019-01-01 15:00:00,30730.7714658
monetary,AA,CCGT_pp,2019-01-01 16:00:00,31468.4447055
monetary,AA,CCGT_pp,2019-01-01 17:00:00,22047.1451682
monetary,AA,CCGT_pp,2019-01-01 18:00:00,52504.652054
monetary,AA,CCGT_pp,2019-01-01 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-01 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-01 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-01 22:00:00,53461.7908574
monetary,AA,CCGT_pp,2019-01-01 23:00:00,50376.4257078
monetary,AA,CCGT_pp,2019-01-02 00:00:00,41588.632812
monetary,AA,CCGT_pp,2019-01-02 01:00:00,37765.3765697
monetary,AA,CCGT_pp,2019-01-02 02:00:00,33241.9848738
monetary,AA,CCGT_pp,2019-01-02 03:00:00,30509.6681692
monetary,AA,CCGT_pp,2019-01-02 04:00:00,29734.6837927
monetary,AA,CCGT_pp,2019-01-02 05:00:00,28572.8696132
monetary,AA,CCGT_pp,2019-01-02 06:00:00,22898.5777175
monetary,AA,CCGT_pp,2019-01-02 07:00:00,25771.6533401
monetary,AA,CCGT_pp,2019-01-02 08:00:00,28924.0312035
monetary,AA,CCGT_pp,2019-01-02 09:00:00,35555.6846194
monetary,AA,CCGT_pp,2019-01-02 10:00:00,39524.0963467
monetary,AA,CCGT_pp,2019-01-02 11:00:00,37973.2458367
monetary,AA,CCGT_pp,2019-01-02 12:00:00,39132.8684235
monetary,AA,CCGT_pp,2019-01-02 13:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-02 14:00:00,35042.8783527
monetary,AA,CCGT_pp,2019-01-02 15:00:00,39566.3023035
monetary,AA,CCGT_pp,2019-01-02 16:00:00,35571.5763125
monetary,AA,CCGT_pp,2019-01-02 17:00:00,39494.5438508
monetary,AA,CCGT_pp,2019-01-02 18:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-02 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-02 20:00:00,57233.0
