,UE,UW,NP,BA,AH,WP,CP,EP,AA,TV
1,-20350.54456,-11881.97719,-71885.2984,-73842.42495,-286369.0204,-235134.264,-106902.8862,-129909.4335,-950765.8155,-48028.33529
2,-20372.62962,-11894.87189,-71963.31063,-73922.56111,-286679.7973,-235389.4392,-107018.9006,-130050.4154,-951797.617,-48080.45718
3,-20409.85873,-11916.60868,-72094.81696,-74057.6478,-287203.6782,-235819.5918,-107214.4678,-130288.0706,-953536.9396,-48168.31979
4,-19973.83648,-11662.03041,-70554.63264,-72475.5309,-281068.0555,-230781.7035,-104924.0113,-127504.6854,-933166.2292,-47139.28478
5,-19984.98418,-11668.53916,-70594.01024,-72515.98059,-281224.9238,-230910.5062,-104982.571,-127575.8477,-933687.0433,-47165.59392
6,-18297.05433,-10683.01546,-64631.64692,-66391.28783,-257472.6937,-211407.827,-96115.75311,-116800.8039,-854827.9253,-43181.99239
7,-17379.99837,-10147.57829,-61392.28193,-63063.72891,-244568.0554,-200811.9789,-91298.39163,-110946.6991,-811983.5946,-41017.69299
8,-17564.04056,-10255.03415,-62042.38385,-63731.5303,-247157.8624,-202938.4393,-92265.17862,-112121.5481,-820581.9407,-41452.04207
9,-17621.8824,-10288.80599,-62246.70159,-63941.41073,-247971.8017,-203606.7554,-92569.02596,-112490.7863,-823284.2781,-41588.55178
10,-17965.77838,-10489.59493,-63461.46347,-65189.24533,-252811.0411,-207580.1984,-94375.53652,-114686.0757,-839350.9022,-42400.16405
11,-18052.0153,-10539.94567,-63766.08265,-65502.15798,-254024.5507,-208576.597,-94828.54528,-115236.5763,-843379.8415,-42603.68762
12,-18781.87406,-10966.08489,-66344.20112,-68150.4675,-264294.9853,-217009.5311,-98662.54627,-119895.6919,-877478.4259,-44326.19196
13,-19037.42979,-11115.29502,-67246.91407,-69077.75743,-267891.1174,-219962.2732,-100004.9991,-121527.0536,-889417.8437,-44929.31668
14,-19208.85195,-11215.38247,-67852.43758,-69699.76672,-270303.3376,-221942.9191,-100905.4921,-122621.3416,-897426.589,-45333.88182
15,-19300.76788,-11269.04899,-68177.11705,-70033.28582,-271596.7612,-223004.9342,-101388.3331,-123208.0948,-901720.8488,-45550.80816
16,-19510.78632,-11391.67148,-68918.97621,-70795.3426,-274552.101,-225431.5292,-102491.5752,-124548.7653,-911532.7901,-46046.4625
17,-19561.47679,-11421.26789,-69098.03285,-70979.27419,-275265.4079,-226017.2172,-102757.856,-124872.3523,-913901.0203,-46166.09465
18,-18012.05185,-10516.6124,-63624.91766,-65357.14968,-253462.1926,-208114.8513,-94618.61439,-114981.4663,-841512.7721,-42509.37182
19,-22838.05886,-13334.35052,-80672.07595,-82868.42854,-321372.852,-263875.502,-119969.9792,-145788.6929,-1066981.063,-53898.99741
20,-23892.14739,-13949.79626,-84395.48826,-86693.2133,-336205.7867,-276054.6518,-125507.1826,-152517.5567,-1116227.476,-56386.70072
21,-24633.78485,-14382.81265,-87015.21325,-89384.26211,-346641.969,-284623.6794,-129403.058,-157251.8625,-1150876.355,-58137.0034
22,-24422.08374,-14259.20771,-86267.4103,-88616.09971,-343662.951,-282177.6424,-128290.9767,-155900.4505,-1140985.8,-57637.37786
23,-22990.02513,-13423.07836,-81208.87439,-83419.84169,-323511.2927,-265631.3507,-120768.269,-146758.7825,-1074080.84,-54257.64565
24,-22500.15739,-13137.06157,-79478.48882,-81642.34519,-316617.9664,-259971.3208,-118194.9582,-143631.6701,-1051194.499,-53101.5325
25,-21104.90722,-12322.42339,-74549.9733,-76579.64745,-296984.2694,-243850.3212,-110865.6079,-134724.9718,-986009.2082,-49808.6701
26,-20497.88348,-11968.00328,-72405.75142,-74377.04766,-288442.3459,-236836.6474,-107676.8682,-130849.9841,-957649.4058,-48376.06275
