,BA,EP
2019-01-01 00:00,34000,109330
2019-01-01 01:00,37000,87680
2019-01-01 02:00,19000,87620
2019-01-01 03:00,10000,84690
2019-01-01 04:00,10000,86730
2019-01-01 05:00,11000,86670
2019-01-01 06:00,11000,87865
2019-01-01 07:00,26000,87710
2019-01-01 08:00,36000,83720
2019-01-01 09:00,33000,85880
2019-01-01 10:00,34000,86150
2019-01-01 11:00,35000,84510
2019-01-01 12:00,35000,84920
2019-01-01 13:00,32000,86640
2019-01-01 14:00,34000,83390
2019-01-01 15:00,14000,81810
2019-01-01 16:00,13000,80930
2019-01-01 17:00,25000,87160
2019-01-01 18:00,52000,106440
2019-01-01 19:00,103000,155640
2019-01-01 20:00,103000,163820
2019-01-01 21:00,83000,133875
2019-01-01 22:00,40000,120750
2019-01-01 23:00,14000,89760
2019-01-02 00:00,13000,78710
2019-01-02 01:00,12000,80700
2019-01-02 02:00,12000,77940
2019-01-02 03:00,12000,65860
2019-01-02 04:00,12000,71210
2019-01-02 05:00,14000,72050
2019-01-02 06:00,15000,70240
2019-01-02 07:00,49000,70200
2019-01-02 08:00,68000,101560
2019-01-02 09:00,89000,98030
2019-01-02 10:00,91000,100430
2019-01-02 11:00,92000,100600
2019-01-02 12:00,94000,100390
2019-01-02 13:00,66000,113430
2019-01-02 14:00,56000,126270
2019-01-02 15:00,54000,128290
2019-01-02 16:00,54000,126200
2019-01-02 17:00,31000,124550
2019-01-02 18:00,18000,141840
2019-01-02 19:00,87000,165360
2019-01-02 20:00,91000,164050
2019-01-02 21:00,88000,146660
2019-01-02 22:00,73000,138330
2019-01-02 23:00,48000,109740
2019-01-03 00:00,46000,66610
2019-01-03 01:00,38000,66750
2019-01-03 02:00,34000,67240
2019-01-03 03:00,34000,70300
2019-01-03 04:00,34000,72220
2019-01-03 05:00,35000,71980
2019-01-03 06:00,32000,78010
2019-01-03 07:00,19000,84350
2019-01-03 08:00,26000,101510
2019-01-03 09:00,33000,131650
2019-01-03 10:00,36000,131210
2019-01-03 11:00,36000,132450
2019-01-03 12:00,37000,128630
2019-01-03 13:00,33000,123760
2019-01-03 14:00,32000,125610
2019-01-03 15:00,52000,129300
2019-01-03 16:00,54000,132240
2019-01-03 17:00,55000,133410
2019-01-03 18:00,56000,143650
2019-01-03 19:00,60000,167520
2019-01-03 20:00,57000,167200
2019-01-03 21:00,55000,169080
2019-01-03 22:00,54000,153740
2019-01-03 23:00,34000,107280
2019-01-04 00:00,19000,84020
2019-01-04 01:00,11000,81490
2019-01-04 02:00,12000,80490
2019-01-04 03:00,14000,80440
2019-01-04 04:00,14000,83540
2019-01-04 05:00,19000,83570
2019-01-04 06:00,33000,80370
2019-01-04 07:00,36000,80260
2019-01-04 08:00,51000,99700
2019-01-04 09:00,62000,123340
2019-01-04 10:00,63000,116500
2019-01-04 11:00,62000,124420
2019-01-04 12:00,52000,120450
2019-01-04 13:00,38000,128420
2019-01-04 14:00,39000,122430
2019-01-04 15:00,39000,121240
2019-01-04 16:00,59000,132260
2019-01-04 17:00,67000,137510
2019-01-04 18:00,79000,140390
2019-01-04 19:00,88000,157800
2019-01-04 20:00,101000,167360
2019-01-04 21:00,89000,148030
2019-01-04 22:00,71000,109550
2019-01-04 23:00,38000,81880
2019-01-05 00:00,16000,81980
2019-01-05 01:00,15000,73940
2019-01-05 02:00,14000,71100
2019-01-05 03:00,13000,73110
2019-01-05 04:00,12000,75090
2019-01-05 05:00,22000,76070
2019-01-05 06:00,37000,73040
2019-01-05 07:00,52000,74850
2019-01-05 08:00,54000,110600
2019-01-05 09:00,53000,118990
2019-01-05 10:00,56000,124810
2019-01-05 11:00,35000,132700
2019-01-05 12:00,39000,128840
2019-01-05 13:00,38000,132400
2019-01-05 14:00,60000,137180
2019-01-05 15:00,60000,120160
2019-01-05 16:00,55000,125650
2019-01-05 17:00,54000,121510
2019-01-05 18:00,51000,138220
2019-01-05 19:00,70000,168070
2019-01-05 20:00,72000,168220
2019-01-05 21:00,68000,167130
2019-01-05 22:00,63000,140940
2019-01-05 23:00,56000,106300
2019-01-06 00:00,26000,69200
2019-01-06 01:00,14000,67020
2019-01-06 02:00,14000,66020
2019-01-06 03:00,14000,67930
2019-01-06 04:00,22000,69960
2019-01-06 05:00,53000,71470
2019-01-06 06:00,66000,91080
2019-01-06 07:00,65000,124070
2019-01-06 08:00,63000,131860
2019-01-06 09:00,74000,129910
2019-01-06 10:00,76000,128510
2019-01-06 11:00,59000,121690
2019-01-06 12:00,61000,125410
2019-01-06 13:00,57000,124790
2019-01-06 14:00,58000,123250
2019-01-06 15:00,56000,112300
2019-01-06 16:00,56000,112140
2019-01-06 17:00,38000,114210
2019-01-06 18:00,21000,126180
2019-01-06 19:00,70000,162940
2019-01-06 20:00,94000,157900
2019-01-06 21:00,103000,163880
2019-01-06 22:00,89000,147660
2019-01-06 23:00,59000,129440
2019-01-07 00:00,37000,99090
2019-01-07 01:00,20000,69260
2019-01-07 02:00,13000,72280
2019-01-07 03:00,13000,72120
2019-01-07 04:00,20000,77120
2019-01-07 05:00,49000,78110
2019-01-07 06:00,60000,97130
2019-01-07 07:00,68000,117240
2019-01-07 08:00,79000,124180
2019-01-07 09:00,82000,122150
2019-01-07 10:00,82000,124460
2019-01-07 11:00,83000,124190
2019-01-07 12:00,81000,122190
2019-01-07 13:00,81000,124210
2019-01-07 14:00,81000,125110
2019-01-07 15:00,82000,127300
2019-01-07 16:00,86000,122170
2019-01-07 17:00,65000,119300
2019-01-07 18:00,62000,124750
2019-01-07 19:00,98000,159480
2019-01-07 20:00,95000,160840
2019-01-07 21:00,64000,160130
2019-01-07 22:00,49000,155020
2019-01-07 23:00,44000,118690
2019-01-08 00:00,39000,74950
2019-01-08 01:00,35000,70190
2019-01-08 02:00,36000,68190
2019-01-08 03:00,37000,69150
2019-01-08 04:00,39000,72200
2019-01-08 05:00,65000,85290
2019-01-08 06:00,62000,114340
2019-01-08 07:00,41000,110190
2019-01-08 08:00,68000,120240
2019-01-08 09:00,80000,116260
2019-01-08 10:00,91000,120220
2019-01-08 11:00,90000,114070
2019-01-08 12:00,92000,116170
2019-01-08 13:00,73000,117560
2019-01-08 14:00,73000,119930
2019-01-08 15:00,77000,127280
2019-01-08 16:00,75000,124850
2019-01-08 17:00,73000,117710
2019-01-08 18:00,63000,143060
2019-01-08 19:00,61000,174040
2019-01-08 20:00,71000,171240
2019-01-08 21:00,69000,169840
2019-01-08 22:00,53000,143020
2019-01-08 23:00,44000,114200
2019-01-09 00:00,53000,73300
2019-01-09 01:00,61000,73070
2019-01-09 02:00,49000,73130
2019-01-09 03:00,38000,74120
2019-01-09 04:00,38000,75200
2019-01-09 05:00,50000,74170
2019-01-09 06:00,65000,76170
2019-01-09 07:00,67000,77210
2019-01-09 08:00,64000,119160
2019-01-09 09:00,85000,112750
2019-01-09 10:00,94000,111800
2019-01-09 11:00,91000,111760
2019-01-09 12:00,92000,107810
2019-01-09 13:00,89000,114830
2019-01-09 14:00,84000,115220
2019-01-09 15:00,82000,113200
2019-01-09 16:00,81000,114130
2019-01-09 17:00,63000,105910
2019-01-09 18:00,49000,142360
2019-01-09 19:00,67000,171040
2019-01-09 20:00,76000,171860
2019-01-09 21:00,77000,169360
2019-01-09 22:00,73000,136860
2019-01-09 23:00,40000,98460
2019-01-10 00:00,39000,72600
2019-01-10 01:00,36000,70240
2019-01-10 02:00,36000,70220
2019-01-10 03:00,36000,70220
2019-01-10 04:00,37000,70240
2019-01-10 05:00,38000,69240
2019-01-10 06:00,39000,70270
2019-01-10 07:00,63000,98390
2019-01-10 08:00,101000,136120
2019-01-10 09:00,102000,129710
2019-01-10 10:00,105000,117800
2019-01-10 11:00,99000,114200
2019-01-10 12:00,93000,114290
2019-01-10 13:00,95000,108180
2019-01-10 14:00,88000,113540
2019-01-10 15:00,71000,112980
2019-01-10 16:00,71000,120920
2019-01-10 17:00,80000,115660
2019-01-10 18:00,81000,149040
2019-01-10 19:00,92000,171300
2019-01-10 20:00,92000,164600
2019-01-10 21:00,91000,143760
2019-01-10 22:00,70000,129090
2019-01-10 23:00,57000,117230
2019-01-11 00:00,43000,114090
2019-01-11 01:00,33000,77080
2019-01-11 02:00,14000,72140
2019-01-11 03:00,14000,72090
2019-01-11 04:00,14000,71090
2019-01-11 05:00,15000,70260
2019-01-11 06:00,17000,74320
2019-01-11 07:00,41000,80210
2019-01-11 08:00,51000,114630
2019-01-11 09:00,61000,114810
2019-01-11 10:00,60000,113850
2019-01-11 11:00,58000,109200
2019-01-11 12:00,60000,111910
2019-01-11 13:00,58000,112330
2019-01-11 14:00,59000,108870
2019-01-11 15:00,57000,109050
2019-01-11 16:00,57000,110130
2019-01-11 17:00,59000,110080
2019-01-11 18:00,60000,121170
2019-01-11 19:00,82000,165760
2019-01-11 20:00,95000,166680
2019-01-11 21:00,94000,134750
2019-01-11 22:00,54000,110520
2019-01-11 23:00,28000,74140
2019-01-12 00:00,14000,69210
2019-01-12 01:00,14000,68230
2019-01-12 02:00,14000,70260
2019-01-12 03:00,14000,70210
2019-01-12 04:00,14000,70210
2019-01-12 05:00,32000,70220
2019-01-12 06:00,66000,71150
2019-01-12 07:00,73000,71340
2019-01-12 08:00,76000,97140
2019-01-12 09:00,76000,116970
2019-01-12 10:00,76000,120510
2019-01-12 11:00,75000,123730
2019-01-12 12:00,75000,112020
2019-01-12 13:00,71000,122270
2019-01-12 14:00,76000,121170
2019-01-12 15:00,71000,120660
2019-01-12 16:00,68000,124710
2019-01-12 17:00,69000,113740
2019-01-12 18:00,63000,138200
2019-01-12 19:00,97000,166940
2019-01-12 20:00,98000,163450
2019-01-12 21:00,100000,129360
2019-01-12 22:00,74000,109340
2019-01-12 23:00,58000,107270
2019-01-13 00:00,47000,107310
2019-01-13 01:00,45000,68140
2019-01-13 02:00,34000,68310
2019-01-13 03:00,32000,67900
2019-01-13 04:00,37000,71140
2019-01-13 05:00,60000,85140
2019-01-13 06:00,72000,115060
2019-01-13 07:00,74000,114990
2019-01-13 08:00,74000,108050
2019-01-13 09:00,75000,110050
2019-01-13 10:00,75000,107040
2019-01-13 11:00,73000,111990
2019-01-13 12:00,73000,107040
2019-01-13 13:00,73000,107000
2019-01-13 14:00,75000,112110
2019-01-13 15:00,79000,111290
2019-01-13 16:00,80000,113140
2019-01-13 17:00,80000,109180
2019-01-13 18:00,65000,128000
2019-01-13 19:00,99000,163710
2019-01-13 20:00,96000,168900
2019-01-13 21:00,76000,146510
2019-01-13 22:00,49000,97410
2019-01-13 23:00,36000,73290
2019-01-14 00:00,20000,70120
2019-01-14 01:00,14000,72030
2019-01-14 02:00,14000,74180
