,UE,CP
2019-01-01 00:00,0,0
2019-01-01 01:00,0,0
2019-01-01 02:00,0,0
2019-01-01 03:00,0,0
2019-01-01 04:00,0,0
2019-01-01 05:00,0,0
2019-01-01 06:00,0.01,0.011
2019-01-01 07:00,0.181,0.107
2019-01-01 08:00,0.392,0.238
2019-01-01 09:00,0.544,0.345
2019-01-01 10:00,0.638,0.434
2019-01-01 11:00,0.678,0.476
2019-01-01 12:00,0.673,0.508
2019-01-01 13:00,0.626,0.474
2019-01-01 14:00,0.53,0.406
2019-01-01 15:00,0.391,0.285
2019-01-01 16:00,0.193,0.139
2019-01-01 17:00,0.021,0.022
2019-01-01 18:00,0,0
2019-01-01 19:00,0,0
2019-01-01 20:00,0,0
2019-01-01 21:00,0,0
2019-01-01 22:00,0,0
2019-01-01 23:00,0,0
2019-01-02 00:00,0,0
2019-01-02 01:00,0,0
2019-01-02 02:00,0,0
2019-01-02 03:00,0,0
2019-01-02 04:00,0,0
2019-01-02 05:00,0,0
2019-01-02 06:00,0.011,0.015
2019-01-02 07:00,0.194,0.126
2019-01-02 08:00,0.404,0.266
2019-01-02 09:00,0.562,0.377
2019-01-02 10:00,0.65,0.46
2019-01-02 11:00,0.687,0.519
2019-01-02 12:00,0.687,0.557
2019-01-02 13:00,0.645,0.525
2019-01-02 14:00,0.544,0.445
2019-01-02 15:00,0.384,0.301
2019-01-02 16:00,0.2,0.156
2019-01-02 17:00,0.027,0.022
2019-01-02 18:00,0,0
2019-01-02 19:00,0,0
2019-01-02 20:00,0,0
2019-01-02 21:00,0,0
2019-01-02 22:00,0,0
2019-01-02 23:00,0,0
2019-01-03 00:00,0,0
2019-01-03 01:00,0,0
2019-01-03 02:00,0,0
2019-01-03 03:00,0,0
2019-01-03 04:00,0,0
2019-01-03 05:00,0,0
2019-01-03 06:00,0.011,0.015
2019-01-03 07:00,0.189,0.136
2019-01-03 08:00,0.399,0.308
2019-01-03 09:00,0.552,0.458
2019-01-03 10:00,0.648,0.553
2019-01-03 11:00,0.694,0.605
2019-01-03 12:00,0.703,0.591
2019-01-03 13:00,0.655,0.536
2019-01-03 14:00,0.559,0.416
2019-01-03 15:00,0.415,0.292
2019-01-03 16:00,0.22,0.124
2019-01-03 17:00,0.028,0.016
2019-01-03 18:00,0,0
2019-01-03 19:00,0,0
2019-01-03 20:00,0,0
2019-01-03 21:00,0,0
2019-01-03 22:00,0,0
2019-01-03 23:00,0,0
2019-01-04 00:00,0,0
2019-01-04 01:00,0,0
2019-01-04 02:00,0,0
2019-01-04 03:00,0,0
2019-01-04 04:00,0,0
2019-01-04 05:00,0,0
2019-01-04 06:00,0.013,0.013
2019-01-04 07:00,0.205,0.136
2019-01-04 08:00,0.415,0.305
2019-01-04 09:00,0.566,0.412
2019-01-04 10:00,0.658,0.505
2019-01-04 11:00,0.702,0.548
2019-01-04 12:00,0.695,0.553
2019-01-04 13:00,0.641,0.479
2019-01-04 14:00,0.542,0.361
2019-01-04 15:00,0.398,0.225
2019-01-04 16:00,0.206,0.096
2019-01-04 17:00,0.025,0.012
2019-01-04 18:00,0,0
2019-01-04 19:00,0,0
2019-01-04 20:00,0,0
2019-01-04 21:00,0,0
2019-01-04 22:00,0,0
2019-01-04 23:00,0,0
2019-01-05 00:00,0,0
2019-01-05 01:00,0,0
2019-01-05 02:00,0,0
2019-01-05 03:00,0,0
2019-01-05 04:00,0,0
2019-01-05 05:00,0,0
2019-01-05 06:00,0.01,0.01
2019-01-05 07:00,0.161,0.106
2019-01-05 08:00,0.37,0.252
2019-01-05 09:00,0.528,0.39
2019-01-05 10:00,0.602,0.494
2019-01-05 11:00,0.61,0.551
2019-01-05 12:00,0.554,0.548
2019-01-05 13:00,0.398,0.472
2019-01-05 14:00,0.275,0.391
2019-01-05 15:00,0.24,0.277
2019-01-05 16:00,0.171,0.134
2019-01-05 17:00,0.025,0.017
2019-01-05 18:00,0,0
2019-01-05 19:00,0,0
2019-01-05 20:00,0,0
2019-01-05 21:00,0,0
2019-01-05 22:00,0,0
2019-01-05 23:00,0,0
2019-01-06 00:00,0,0
2019-01-06 01:00,0,0
2019-01-06 02:00,0,0
2019-01-06 03:00,0,0
2019-01-06 04:00,0,0
2019-01-06 05:00,0,0
2019-01-06 06:00,0.009,0.012
2019-01-06 07:00,0.125,0.113
2019-01-06 08:00,0.264,0.248
2019-01-06 09:00,0.387,0.376
2019-01-06 10:00,0.464,0.457
2019-01-06 11:00,0.503,0.479
2019-01-06 12:00,0.503,0.438
2019-01-06 13:00,0.495,0.369
2019-01-06 14:00,0.411,0.26
2019-01-06 15:00,0.214,0.149
2019-01-06 16:00,0.065,0.058
2019-01-06 17:00,0.005,0.006
2019-01-06 18:00,0,0
2019-01-06 19:00,0,0
2019-01-06 20:00,0,0
2019-01-06 21:00,0,0
2019-01-06 22:00,0,0
2019-01-06 23:00,0,0
2019-01-07 00:00,0,0
2019-01-07 01:00,0,0
2019-01-07 02:00,0,0
2019-01-07 03:00,0,0
2019-01-07 04:00,0,0
2019-01-07 05:00,0,0
2019-01-07 06:00,0.008,0.012
2019-01-07 07:00,0.126,0.11
2019-01-07 08:00,0.279,0.236
2019-01-07 09:00,0.454,0.34
2019-01-07 10:00,0.546,0.395
2019-01-07 11:00,0.543,0.403
2019-01-07 12:00,0.47,0.361
2019-01-07 13:00,0.382,0.339
2019-01-07 14:00,0.278,0.287
2019-01-07 15:00,0.163,0.169
2019-01-07 16:00,0.066,0.065
2019-01-07 17:00,0.006,0.006
2019-01-07 18:00,0,0
2019-01-07 19:00,0,0
2019-01-07 20:00,0,0
2019-01-07 21:00,0,0
2019-01-07 22:00,0,0
2019-01-07 23:00,0,0
2019-01-08 00:00,0,0
2019-01-08 01:00,0,0
2019-01-08 02:00,0,0
2019-01-08 03:00,0,0
2019-01-08 04:00,0,0
2019-01-08 05:00,0,0
2019-01-08 06:00,0.011,0.01
2019-01-08 07:00,0.169,0.11
2019-01-08 08:00,0.369,0.258
2019-01-08 09:00,0.437,0.392
2019-01-08 10:00,0.398,0.482
2019-01-08 11:00,0.383,0.523
2019-01-08 12:00,0.443,0.541
2019-01-08 13:00,0.412,0.478
2019-01-08 14:00,0.344,0.374
2019-01-08 15:00,0.232,0.26
2019-01-08 16:00,0.123,0.127
2019-01-08 17:00,0.016,0.018
2019-01-08 18:00,0,0
2019-01-08 19:00,0,0
2019-01-08 20:00,0,0
2019-01-08 21:00,0,0
2019-01-08 22:00,0,0
2019-01-08 23:00,0,0
2019-01-09 00:00,0,0
2019-01-09 01:00,0,0
2019-01-09 02:00,0,0
2019-01-09 03:00,0,0
2019-01-09 04:00,0,0
2019-01-09 05:00,0,0
2019-01-09 06:00,0.008,0.017
2019-01-09 07:00,0.154,0.152
2019-01-09 08:00,0.348,0.323
2019-01-09 09:00,0.504,0.448
2019-01-09 10:00,0.61,0.551
2019-01-09 11:00,0.666,0.611
2019-01-09 12:00,0.677,0.63
2019-01-09 13:00,0.624,0.583
2019-01-09 14:00,0.516,0.483
2019-01-09 15:00,0.357,0.343
2019-01-09 16:00,0.161,0.166
2019-01-09 17:00,0.018,0.024
2019-01-09 18:00,0,0
2019-01-09 19:00,0,0
2019-01-09 20:00,0,0
2019-01-09 21:00,0,0
2019-01-09 22:00,0,0
2019-01-09 23:00,0,0
2019-01-10 00:00,0,0
2019-01-10 01:00,0,0
2019-01-10 02:00,0,0
2019-01-10 03:00,0,0
2019-01-10 04:00,0,0
2019-01-10 05:00,0,0
2019-01-10 06:00,0.01,0.014
2019-01-10 07:00,0.171,0.129
2019-01-10 08:00,0.372,0.295
